Historical Data;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;
FR0003500008;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover
'09/06/2025;7796.26;7812.73;7772.09;7791.47;7791.47;'0;'0;'0
'06/06/2025;7794.88;7815.00;7769.84;7804.87;7804.87;'0;'0;'2589307064
'05/06/2025;7811.18;7848.09;7761.54;7790.27;7790.27;'0;'0;'3240746554
'04/06/2025;7795.06;7843.21;7779.36;7804.67;7804.67;'0;'0;'3662025724
'03/06/2025;7752.28;7765.46;7699.24;7763.84;7763.84;'0;'0;'3592614444
'02/06/2025;7714.91;7744.28;7668.90;7737.20;7737.20;'0;'0;'3385274709
30/05/2025;7776.04;7811.49;7747.90;7751.89;7751.89;'0;'0;'7882359295
29/05/2025;7866.77;7869.92;7779.72;7779.72;7779.72;'0;'0;'2226252211
28/05/2025;7825.42;7853.66;7787.58;7788.10;7788.10;'0;'0;'3687338496
27/05/2025;7816.51;7856.40;7808.12;7826.79;7826.79;'0;'0;'3419640451
26/05/2025;7833.13;7840.30;7799.81;7828.13;7828.13;'0;'0;'2467346975
23/05/2025;7876.87;7888.97;7620.40;7734.40;7734.40;'0;'0;'4635401534
22/05/2025;7870.57;7887.10;7807.05;7864.44;7864.44;'0;'0;'3657794622
21/05/2025;7913.74;7930.61;7873.17;7910.49;7910.49;'0;'0;'3437702354
20/05/2025;7899.86;7955.53;7878.57;7942.42;7942.42;'0;'0;'3415135264
19/05/2025;7854.11;7883.63;7824.42;7883.63;7883.63;'0;'0;'3279850469
16/05/2025;7874.93;7915.43;7855.72;7886.69;7886.69;'0;'0;'4278108853
15/05/2025;7806.12;7853.47;7800.37;7853.47;7853.47;'0;'0;'3664498300
14/05/2025;7875.39;7877.74;7805.70;7836.79;7836.79;'0;'0;'3763552738
13/05/2025;7842.79;7879.39;7840.86;7873.83;7873.83;'0;'0;'3624780552
12/05/2025;7800.18;7880.29;7783.69;7850.10;7850.10;'0;'0;'5274506945
'09/05/2025;7732.02;7767.07;7723.14;7743.75;7743.75;'0;'0;'3486466859
'08/05/2025;7657.03;7719.83;7646.01;7694.44;7694.44;'0;'0;'3693185425
'07/05/2025;7668.18;7678.95;7613.20;7626.84;7626.84;'0;'0;'3784551231
'06/05/2025;7743.07;7746.28;7647.78;7696.92;7696.92;'0;'0;'3384271905
'05/05/2025;7735.59;7747.49;7713.16;7727.93;7727.93;'0;'0;'2721093157
'02/05/2025;7710.08;7779.70;7679.01;7770.48;7770.48;'0;'0;'5361343711
30/04/2025;7586.65;7609.32;7512.23;7593.87;7593.87;'0;'0;'6216889848
29/04/2025;7572.23;7588.43;7533.57;7555.87;7555.87;'0;'0;'4114371576
28/04/2025;7564.26;7618.55;7564.26;7573.76;7573.76;'0;'0;'3661746811
25/04/2025;7565.35;7574.25;7525.13;7536.26;7536.26;'0;'0;'4192490325
24/04/2025;7448.46;7507.30;7411.03;7502.78;7502.78;'0;'0;'4012283837
23/04/2025;7403.93;7555.17;7403.93;7482.36;7482.36;'0;'0;'5523908197
22/04/2025;7284.71;7326.47;7218.30;7326.47;7326.47;'0;'0;'4065831224
17/04/2025;7311.91;7331.64;7257.77;7285.86;7285.86;'0;'0;'3699132338
16/04/2025;7276.39;7332.14;7243.77;7329.97;7329.97;'0;'0;'4133359679
15/04/2025;7255.06;7344.20;7239.73;7335.40;7335.40;'0;'0;'4797418847
14/04/2025;7238.01;7308.76;7222.86;7273.12;7273.12;'0;'0;'4136598903
11/04/2025;7191.48;7204.60;7007.63;7104.80;7104.80;'0;'0;'4596194827
10/04/2025;7296.50;7384.47;7126.02;7126.02;7126.02;'0;'0;'6872890452
'09/04/2025;6902.42;6999.35;6792.57;6863.02;6863.02;'0;'0;'6172843445
