Historical Data;;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;;
NL0000226223;;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover;vwap
'09/06/2025;24.975;26.005;24.96;25.765;25.765;2310692;8084;'59261650;25.6467
'06/06/2025;24.80;25.195;24.625;25.05;25.05;2062363;6661;'51487679;24.9654
'05/06/2025;24.885;25.325;24.815;25.19;25.19;2624210;9593;'65892645;25.1095
'04/06/2025;23.00;25.12;22.94;24.92;24.92;6693084;19072;'163874749;24.4842
'03/06/2025;21.76;22.48;21.495;22.425;22.425;1580982;3919;'35127788;22.2190
'02/06/2025;21.72;21.88;21.48;21.69;21.69;1880564;4179;'40769304;21.6793
30/05/2025;22.18;22.68;22.105;22.105;22.105;3913740;5340;'86726672;22.1595
29/05/2025;22.77;23.335;22.37;22.53;22.53;1433198;5339;'32605612;22.7503
28/05/2025;22.215;22.60;22.21;22.35;22.35;1738449;5929;'38866320;22.3569
27/05/2025;22.11;22.75;22.00;22.45;22.45;2265701;5340;'50875058;22.4544
26/05/2025;22.17;22.21;21.955;22.13;22.13;1128446;2677;'24932880;22.0949
23/05/2025;22.305;22.65;21.23;21.52;21.52;3516123;13364;'76656841;21.8015
22/05/2025;22.51;22.90;22.355;22.47;22.47;2941540;8540;'66443924;22.5881
21/05/2025;22.71;22.97;22.51;22.94;22.94;1786035;4378;'40832413;22.8620
20/05/2025;22.86;23.135;22.82;22.965;22.965;2033053;6030;'46722190;22.9813
19/05/2025;22.745;22.925;22.575;22.805;22.805;1655015;5072;'37692578;22.7748
16/05/2025;23.065;23.33;22.97;23.06;23.06;1887723;5519;'43573286;23.0825
15/05/2025;23.095;23.42;22.965;23.165;23.165;1748959;5084;'40542669;23.1810
14/05/2025;23.395;23.455;22.83;23.29;23.29;2785691;7105;'64680906;23.2190
13/05/2025;22.79;23.305;22.69;23.305;23.305;3107780;7724;'71895783;23.1341
12/05/2025;21.75;22.84;21.745;22.655;22.655;4075572;14365;'91995922;22.5725
'09/05/2025;20.875;21.355;20.825;21.21;21.21;2641116;7849;'55956914;21.1868
'08/05/2025;20.39;20.925;20.24;20.525;20.525;2594285;7749;'53336515;20.5592
'07/05/2025;19.93;20.30;19.888;20.16;20.16;1803640;4086;'36321192;20.1377
'06/05/2025;20.365;20.495;19.878;20.03;20.03;1780291;4809;'35703905;20.0551
'05/05/2025;20.64;20.975;20.38;20.435;20.435;1545735;5230;'31758566;20.5459
'02/05/2025;20.315;20.705;20.215;20.64;20.64;2344319;6488;'48196015;20.5586
30/04/2025;20.11;20.40;19.366;19.82;19.82;2867183;6049;'56839658;19.8242
29/04/2025;20.115;20.395;19.836;20.145;20.145;2269624;6491;'45658263;20.1171
28/04/2025;20.335;20.66;20.11;20.145;20.145;2909779;10758;'59364525;20.4017
25/04/2025;20.49;20.69;20.08;20.415;20.415;2121987;7231;'43309392;20.4098
24/04/2025;19.50;20.66;19.436;20.24;20.24;4415314;13886;'88901135;20.1347
23/04/2025;18.752;19.482;18.596;19.226;19.226;4251649;12658;'81565094;19.1843
22/04/2025;17.90;18.26;17.758;18.146;18.146;2533971;9010;'45799965;18.0744
17/04/2025;18.152;18.324;17.734;17.93;17.93;2238239;8436;'40158757;17.9421
16/04/2025;17.85;18.098;17.754;18.062;18.062;2443339;7751;'43946419;17.9862
15/04/2025;18.118;18.34;18.02;18.302;18.302;2152047;7293;'39257957;18.2421
14/04/2025;18.24;18.534;17.90;17.966;17.966;2984780;8600;'53813327;18.0292
11/04/2025;17.192;17.834;16.996;17.584;17.584;5275662;16749;'92015400;17.4415
10/04/2025;19.006;19.082;16.90;16.906;16.906;5583280;16757;'97938332;17.5414
'09/04/2025;16.216;17.35;16.138;16.684;16.684;6779037;15976;'113223599;16.7020
'08/04/2025;17.496;17.76;16.718;17.266;17.266;4715165;15004;'81446081;17.2732
'07/04/2025;15.508;18.084;15.50;16.876;16.876;8824056;26672;'147391233;16.7033
'04/04/2025;17.876;17.988;16.514;17.022;17.022;6077650;18052;'103985503;17.1095
'03/04/2025;19.234;19.722;18.144;18.242;18.242;4309293;12532;'80727466;18.7333
'02/04/2025;20.095;20.23;19.636;19.916;19.916;1951981;5114;'38829623;19.8924
'01/04/2025;20.52;20.53;19.728;20.12;20.12;3114169;6093;'62620051;20.1081
31/03/2025;20.075;20.22;19.73;20.00;20.00;3076523;7833;'61511655;19.9939
28/03/2025;21.025;21.225;20.51;20.51;20.51;2841155;7167;'58707598;20.6633
27/03/2025;21.145;21.54;20.89;21.29;21.29;3667623;7151;'78188578;21.3186
26/03/2025;22.40;22.56;21.505;21.545;21.545;3111891;7415;'67819361;21.7936
25/03/2025;22.475;22.79;22.20;22.445;22.445;2249054;4922;'50546227;22.4744
24/03/2025;22.38;22.62;21.985;22.435;22.435;2469327;5801;'55338063;22.4102
21/03/2025;22.36;22.47;21.715;22.11;22.11;4512905;8439;'99487188;22.0450
20/03/2025;23.42;23.57;22.63;22.63;22.63;3300875;6448;'75337738;22.8236
19/03/2025;23.15;23.58;23.055;23.535;23.535;3010597;6683;'70481304;23.4111
18/03/2025;23.16;23.975;23.10;23.475;23.475;2652983;6846;'62502647;23.5594
17/03/2025;22.655;22.98;22.51;22.925;22.925;2448611;5869;'55903838;22.8308
14/03/2025;22.15;22.65;21.975;22.60;22.60;3101300;6523;'69771463;22.4975
13/03/2025;22.385;22.46;22.025;22.11;22.11;3135207;8095;'69528867;22.1768
12/03/2025;22.80;23.095;22.52;22.725;22.725;2375932;6174;'54102453;22.7710
11/03/2025;23.195;23.775;22.56;22.685;22.685;3746431;9072;'86059179;22.9710
10/03/2025;24.095;24.21;23.045;23.34;23.34;3936579;9060;'91915683;23.3491
'07/03/2025;23.985;24.025;23.30;23.725;23.725;3797560;8697;'89995954;23.6984
'06/03/2025;23.515;24.265;23.325;24.035;24.035;4951361;11433;'118203837;23.8730
'05/03/2025;22.525;23.25;22.38;22.975;22.975;5076871;14057;'116569073;22.9608
'04/03/2025;23.115;23.265;21.75;21.80;21.80;5149029;11542;'114033124;22.1465
